zip4,province,city
2465,安徽省,安庆
2467,安徽省,安庆
2471,安徽省,池州
2500,山东省 ,济南
2501,山东省 ,济南
2503,山东省 ,济南
2511,山东省 ,德州
2514,山东省 ,济南
2515,山东省 ,德州
2517,山东省 ,滨州
2519,山东省 ,滨州
2520,山东省 ,聊城
2522,山东省 ,聊城
2524,山东省 ,聊城
2526,山东省 ,聊城
2530,山东省 ,德州
2531,山东省 ,德州
2533,山东省 ,德州
2535,山东省 ,德州
2537,山东省 ,德州
2550,山东省 ,淄博
2552,山东省 ,淄博
2554,山东省 ,淄博
2563,山东省 ,淄博
2565,山东省 ,滨州
2566,山东省 ,滨州
2568,山东省 ,滨州
2570,山东省 ,东营
2571,山东省 ,东营
2573,山东省 ,东营
2575,山东省 ,东营
2610,山东省 ,潍坊
2611,山东省 ,潍坊
2613,山东省 ,潍坊
2614,山东省 ,烟台
2621,山东省 ,潍坊
2623,山东省 ,日照
2624,山东省 ,潍坊
2626,山东省 ,潍坊
2640,山东省 ,烟台
2642,山东省 ,威海
2644,山东省 ,威海
2651,山东省 ,烟台
2653,山东省 ,烟台
2655,山东省 ,烟台
2657,山东省 ,烟台
2660,山东省 ,青岛
2661,山东省 ,青岛
2663,山东省 ,青岛
2666,山东省 ,青岛
2710,山东省 ,泰安
2711,山东省 ,
2712,山东省 ,泰安
2715,山东省 ,泰安
2720,山东省 ,济宁
2723,山东省 ,济宁
2725,山东省 ,济宁
2731,山东省 ,济宁
2733,山东省 ,临沂
2735,山东省 ,济宁
2740,山东省 ,菏泽
2742,山东省 ,菏泽
2744,山东省 ,菏泽
2746,山东省 ,菏泽
2749,山东省 ,菏泽
2760,山东省 ,临沂
2762,山东省 ,临沂
2764,山东省 ,临沂
2767,山东省 ,临沂
2768,山东省 ,日照
2770,山东省 ,枣庄
2772,山东省 ,枣庄
2774,山东省 ,枣庄
3000,天津市,天津市
3004,天津市,天津市
3016,天津市,天津市
3018,天津市,天津市
3100,浙江省 ,杭州
3111,浙江省 ,杭州
3113,浙江省 ,杭州
3115,浙江省 ,杭州
3117,浙江省 ,杭州
3120,浙江省 ,绍兴
3124,浙江省 ,绍兴
3130,浙江省 ,湖州
3131,浙江省 ,湖州
3133,浙江省 ,湖州
3140,浙江省 ,嘉兴
3142,浙江省 ,嘉兴
3144,浙江省 ,嘉兴
3150,浙江省 ,宁波
3152,浙江省 ,宁波
3154,浙江省 ,宁波
3156,浙江省 ,宁波
3158,浙江省 ,宁波
3160,浙江省 ,舟山
3161,浙江省 ,舟山
3170,浙江省 ,台州
3172,浙江省 ,台州
3175,浙江省 ,台州
3177,浙江省 ,台州
3180,浙江省 ,台州
3210,浙江省 ,金华
3211,浙江省 ,金华
3213,浙江省 ,金华
3214,浙江省 ,丽水
3221,浙江省 ,金华
3223,浙江省 ,金华
3230,浙江省 ,丽水
3233,浙江省 ,丽水
3235,浙江省 ,丽水
3237,浙江省 ,丽水
3239,浙江省 ,丽水
3240,浙江省 ,衢州
3241,浙江省 ,衢州
3243,浙江省 ,衢州
3250,浙江省 ,温州
3252,浙江省 ,温州
3254,浙江省 ,温州
3256,浙江省 ,温州
3258,浙江省 ,温州
3300,江西省,南昌
3302,江西省,南昌
3304,江西省,九江
3305,江西省,南昌
3306,江西省,宜春
3308,江西省,宜春
3312,江西省,宜春
3314,江西省,吉安
3316,江西省,吉安
3318,江西省,抚州
3320,江西省,九江
3321,江西省,九江
3322,江西省,九江
3324,江西省,九江
3326,江西省,九江
3328,江西省,九江
3330,江西省,景德镇
3331,江西省,九江
3332,江西省,上饶
3333,江西省,景德镇
3340,江西省,上饶
3341,江西省,上饶
3342,江西省,上饶
3344,江西省,上饶
3346,江西省,上饶
3350,江西省,鹰潭
3351,江西省,上饶
3354,江西省,鹰潭
3360,江西省,宜春
3361,江西省,宜春
3363,江西省,宜春
3366,江西省,新余
3370,江西省,萍乡
3371,江西省,萍乡
3380,江西省,新余
3410,江西省,赣州
3412,江西省,赣州
3414,江西省,赣州
3416,江西省,赣州
3418,江西省,赣州
3421,江西省,赣州
3423,江西省,赣州
3425,江西省,赣州
3427,江西省,赣州
3430,江西省,吉安
3431,江西省,吉安
3434,江西省,吉安
3436,江西省,吉安
3437,江西省,吉安
3439,江西省,吉安
3440,江西省,抚州
3441,江西省,抚州
3443,江西省,抚州
3445,江西省,抚州
3447,江西省,抚州
3449,江西省,抚州
3500,福建省,福州
3502,福建省,福州
3504,福建省,福州
3506,福建省,福州
3508,福建省,福州
3511,福建省,莆田
3512,福建省,莆田
3520,福建省,宁德
3523,福建省,宁德
3530,福建省,南平
3532,福建省,南平
3533,福建省,三明
3535,福建省,南平
3540,福建省,南平
3542,福建省,南平
3545,福建省,三明
3551,福建省,宁德
3553,福建省,宁德
3555,福建省,宁德
3610,福建省,厦门
3611,福建省,厦门
3620,福建省,泉州
3621,福建省,泉州
3622,福建省,泉州
3624,福建省,泉州
3626,福建省,泉州
3630,福建省,漳州
3631,福建省,漳州
3633,福建省,漳州
3635,福建省,漳州
3637,福建省,漳州
3639,福建省,漳州
3640,福建省,龙岩
3642,福建省,龙岩
3644,福建省,龙岩
3650,福建省,三明
3652,福建省,三明
3654,福建省,三明
3660,福建省,三明
3663,福建省,龙岩
4000,重庆市,重庆市
4007,重庆市,重庆市
4008,重庆市,重庆市
4011,重庆市,重庆市
4013,重庆市,重庆市
4014,重庆市,重庆市
4021,重庆市,重庆市
4023,重庆市,重庆市
4025,重庆市,重庆市
4027,重庆市,重庆市
4040,重庆市,重庆市
4041,重庆市,重庆市
4043,重庆市,重庆市
4046,重庆市,重庆市
4052,重庆市,重庆市
4058,重庆市,重庆市
4059,重庆市,重庆市
4080,重庆市,重庆市
4082,重庆市,重庆市
4084,重庆市,重庆市
4090,重庆市,重庆市
4096,重庆市,重庆市
4099,重庆市,重庆市
4100,湖南省,长沙
4101,湖南省,长沙
4102,湖南省,长沙
4104,湖南省,岳阳
4106,湖南省,长沙
4111,湖南省,湘潭
4112,湖南省,湘潭
4114,湖南省,湘潭
4120,湖南省,株洲
4123,湖南省,株洲
4125,湖南省,株洲
4130,湖南省,益阳
4131,湖南省,益阳
4134,湖南省,益阳
4140,湖南省,岳阳
4142,湖南省,岳阳
4144,湖南省,岳阳
4150,湖南省,常德
4152,湖南省,常德
4154,湖南省,常德
4156,湖南省,常德
4159,湖南省,常德
4160,湖南省,湘西土家族苗族
4162,湖南省,湘西土家族苗族
4164,湖南省,湘西土家族苗族
4167,湖南省,湘西土家族苗族
4170,湖南省,娄底
4175,湖南省,娄底
4177,湖南省,娄底
4180,湖南省,怀化
4181,湖南省,张家界
4182,湖南省,怀化
4184,湖南省,怀化
4191,湖南省,怀化
4193,湖南省,怀化
4195,湖南省,怀化
4210,湖南省,衡阳
4211,湖南省,衡阳
4212,湖南省,衡阳
4214,湖南省,衡阳
4216,湖南省,衡阳
4220,湖南省,邵阳
4221,湖南省,邵阳
4222,湖南省,邵阳
4224,湖南省,邵阳
4226,湖南省,邵阳
4228,湖南省,邵阳
4230,湖南省,郴州
4233,湖南省,郴州
4235,湖南省,郴州
4241,湖南省,郴州
4243,湖南省,郴州
4245,湖南省,郴州
4250,湖南省,永州
4252,湖南省,永州
4254,湖南省,永州
4256,湖南省,永州
4258,湖南省,永州
4261,湖南省,永州
4270,湖南省,张家界
4272,湖南省,张家界
4300,湖北省,武汉
4302,湖北省,武汉
4318,湖北省,荆门
4320,湖北省,孝感
4321,湖北省,孝感
4322,湖北省,武汉
4324,湖北省,孝感
4326,湖北省,孝感
4327,湖北省,随州
4329,湖北省,孝感
4330,湖北省,荆门
4333,湖北省,荆州
4340,湖北省,荆州
4341,湖北省,咸宁
4343,湖北省,荆州
4350,湖北省,黄石
4352,湖北省,黄石
4353,湖北省,黄冈
4355,湖北省,黄冈
4360,湖北省,鄂州
4370,湖北省,咸宁
4373,湖北省,咸宁
4375,湖北省,咸宁
4380,湖北省,黄冈
4383,湖北省,黄冈
4386,湖北省,黄冈
4410,湖北省,襄樊
4411,湖北省,襄樊
4412,湖北省,十堰
4413,湖北省,随州
4414,湖北省,襄樊
4416,湖北省,襄樊
4418,湖北省,襄樊
4420,湖北省,十堰
4421,湖北省,十堰
4423,湖北省,十堰
4424,湖北省,恩施土家族苗族
4426,湖北省,十堰
4430,湖北省,宜昌
4431,湖北省,荆州
4432,湖北省,宜昌
4435,湖北省,宜昌
4437,湖北省,宜昌
4442,湖北省,荆州
4443,湖北省,恩施土家族苗族
4450,湖北省,恩施土家族苗族
4453,湖北省,恩施土家族苗族
4455,湖北省,恩施土家族苗族
4457,湖北省,恩施土家族苗族
4480,湖北省,荆门
4482,湖北省,荆门
4500,河南省,郑州
4501,河南省,郑州
4512,河南省,郑州
4523,河南省,郑州
4526,河南省,许昌
